"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2024","333.82","336.01","336.01","329.69","5.32M","-1.09%"
"03/22/2024","337.50","350.33","350.47","335.79","5.90M","-2.18%"
"03/21/2024","345.03","363.99","369.03","342.28","9.57M","-9.31%"
"03/20/2024","380.44","378.03","381.27","375.20","2.88M","0.62%"
"03/19/2024","378.08","373.49","378.33","371.02","2.06M","1.45%"
"03/18/2024","372.67","378.76","378.93","372.18","2.16M","-0.52%"
"03/15/2024","374.60","368.79","375.14","366.87","3.87M","-0.95%"
"03/14/2024","378.21","380.98","381.49","376.56","1.71M","-0.13%"
"03/13/2024","378.72","379.50","381.18","377.71","1.64M","-0.46%"
"03/12/2024","380.48","375.00","382.42","374.85","1.79M","1.95%"
"03/11/2024","373.22","374.38","375.56","367.07","2.22M","-1.31%"
"03/08/2024","378.17","386.69","387.51","377.73","1.64M","-2.26%"
"03/07/2024","386.91","384.65","387.51","383.70","1.56M","1.60%"
"03/06/2024","380.83","380.00","383.06","377.80","1.45M","1.05%"
"03/05/2024","376.88","381.54","384.16","373.96","1.54M","-1.78%"
"03/04/2024","383.71","382.31","386.98","381.61","1.64M","0.71%"
"03/01/2024","380.99","375.80","382.00","375.80","2.11M","1.66%"
"02/29/2024","374.78","380.40","380.40","374.15","3.33M","-0.86%"
"02/28/2024","378.03","378.24","379.49","375.21","1.26M","0.03%"
"02/27/2024","377.91","377.00","379.75","374.90","1.08M","0.11%"
"02/26/2024","377.48","376.86","380.30","376.86","1.45M","0.04%"
"02/23/2024","377.32","373.99","377.97","372.83","1.61M","1.62%"
"02/22/2024","371.31","369.72","372.19","368.40","1.61M","2.88%"
"02/21/2024","360.91","360.34","362.38","358.97","1.76M","-0.56%"
